Noise level,Dataset,Replicate,Job number
0,1,1,113
0,1,2,115
0,1,3,116
0,1,4,117
0,1,5,118
0,1,6,119
0,2,1,120
0,2,2,121
0,2,3,122
0,2,4,123
0,2,5,124
0,2,6,125
0,3,1,126
0,3,2,127
0,3,3,128
0,3,4,129
0,3,5,130
0,3,6,131
0,4,1,132
0,4,2,133
0,4,3,134
0,4,4,135
0,4,5,136
0,4,6,137
0,5,1,138
0,5,2,139
0,5,3,140
0,5,4,141
0,5,5,142
0,5,6,143
0,6,1,144
0,6,2,145
0,6,3,146
0,6,4,147
0,6,5,148
0,6,6,149
0,7,1,150
0,7,2,151
0,7,3,152
0,7,4,153
0,7,5,154
0,7,6,155
0,8,1,156
0,8,2,157
0,8,3,158
0,8,4,159
0,8,5,160
0,8,6,161
0,9,1,162
0,9,2,163
0,9,3,164
0,9,4,165
0,9,5,166
0,9,6,167
0,10,1,168
0,10,2,169
0,10,3,170
0,10,4,171
0,10,5,172
0,10,6,173
2,1,1,129
2,1,2,130
2,1,3,131
2,1,4,132
2,1,5,133
2,1,6,134
2,2,1,135
2,2,2,136
2,2,3,137
2,2,4,138
2,2,5,139
2,2,6,140
2,3,1,141
2,3,2,142
2,3,3,143
2,3,4,144
2,3,5,145
2,3,6,146
2,4,1,147
2,4,2,148
2,4,3,149
2,4,4,150
2,4,5,151
2,4,6,152
2,5,1,153
2,5,2,154
2,5,3,155
2,5,4,156
2,5,5,157
2,5,6,158
2,6,1,159
2,6,2,160
2,6,3,161
2,6,4,162
2,6,5,163
2,6,6,164
2,7,1,165
2,7,2,166
2,7,3,167
2,7,4,168
2,7,5,169
2,7,6,170
2,8,1,171
2,8,2,172
2,8,3,173
2,8,4,174
2,8,5,175
2,8,6,176
2,9,1,177
2,9,2,178
2,9,3,179
2,9,4,180
2,9,5,181
2,9,6,182
2,10,1,183
2,10,2,184
2,10,3,185
2,10,4,186
2,10,5,187
2,10,6,188
4,1,1,129
4,1,2,130
4,1,3,131
4,1,4,132
4,1,5,133
4,1,6,134
4,2,1,135
4,2,2,137
4,2,3,138
4,2,4,139
4,2,5,140
4,2,6,141
4,3,1,142
4,3,2,143
4,3,3,144
4,3,4,145
4,3,5,146
4,3,6,147
4,4,1,148
4,4,2,149
4,4,3,150
4,4,4,151
4,4,5,152
4,4,6,153
4,5,1,154
4,5,2,155
4,5,3,156
4,5,4,157
4,5,5,158
4,5,6,159
4,6,1,160
4,6,2,161
4,6,3,162
4,6,4,163
4,6,5,164
4,6,6,165
4,7,1,166
4,7,2,167
4,7,3,168
